Артикул	Группа товара	Дата продажи
IT010010	Гель для туалетов	01.03.2017
IT010011	Сода кальцинированная	01.03.2017
IT010012	Чистящий порошок универсальный	03.03.2017
IT010013	Микроспрей	04.03.2017
IT010014	Средство для чистки плит	05.03.2017
IT010015	Дозатор	06.03.2017
IT010016	Стиральный порошок ручной	07.03.2017
IT010017	Мыло жидкое	08.03.2017
IT010018	Мыло кусковое	09.03.2017
IT010019	Отбеливатель	10.03.2017
IT0100110	Зубная паста	11.03.2017
IT0100111	Пятновыводитель	12.03.2017
IT0100112	Салфетки бумажные	13.03.2017
null	Стиральный порошок универсальный	14.03.2017
IT0100114	Средство для мытья посуды	15.03.2017
IT0100115	Средство для прочистки труб	16.03.2017
IT0100116	Перчатки тканевые	17.03.2017
IT0100117	Антистатик спрей	18.03.2017
IT0100118	Освежитель воздуха	19.03.2017
IT0100119	Пена/соль для ванн	20.03.2017
IT0100120	Запасной баллон для освежителя	21.03.2017
IT0100121	Средство для ухода за мебелью	22.03.2017
IT0100122	Средство для чистки металлических изделий	23.03.2017
IT0100123	Средство для мытья пола	24.03.2017
IT0100124	Кондиционер для белья	25.03.2017
IT0100125	Перчатки резиновые	26.03.2017
IT0100126	Средство для дезинфекции	27.03.2017
IT0100127	Покрытие одноразовое для унитаза	28.03.2017
IT0100128	Бумажное полотенце	29.03.2017
IT0100129	Подвеска для унитаза	30.03.2017
IT0100130	Средство для посудомоечной машины	01.04.2017
IT0100131	Картридж с жидким мылом	02.04.2017
IT0100132	Платки носовые	03.04.2017
IT0100133	Средство по уходу за зеркалами и стеклами	04.04.2017
IT0100134	Стиральный порошок-автомат	05.04.2017
IT0100135	Средство для чистки кафеля	06.04.2017
IT0100136	Средство от накипи	07.04.2017
IT0100137	Пакеты для завтрака	08.04.2017
IT0100138	Гель для туалетов	09.04.2017
IT0100139	Сода кальцинированная	10.04.2017
IT0100140	Чистящий порошок универсальный	11.04.2017
IT0100141	Микроспрей	12.04.2017
IT0100142	Средство для чистки плит	13.04.2017
IT0100143	Дозатор	14.04.2017
IT0100144	Стиральный порошок ручной	15.04.2017
IT0100145	Мыло жидкое	16.04.2017
IT0100146	Мыло кусковое	17.04.2017
IT0100147	Отбеливатель	18.04.2017
IT0100148	Зубная паста	19.04.2017
IT0100149	Пятновыводитель	20.04.2017
IT0100150	Салфетки бумажные	21.04.2017
IT0100151	Стиральный порошок универсальный	22.04.2017
IT0100152	Средство для мытья посуды	23.04.2017
IT0100153	Средство для прочистки труб	24.04.2017
IT0100154	Перчатки тканевые	25.04.2017
IT0100155	Антистатик спрей	26.04.2017
IT0100156	Освежитель воздуха	27.04.2017
IT0100157	Пена/соль для ванн	28.04.2017
IT0100158	Запасной баллон для освежителя	29.04.2017
IT0100159	Средство для ухода за мебелью	03.05.2017
IT0100160	Средство для чистки металлических изделий	04.05.2017
IT0100161	Средство для мытья пола	05.05.2017
IT0100162	Кондиционер для белья	06.05.2017
IT0100163	Перчатки резиновые	07.05.2017
IT0100164	Средство для дезинфекции	08.05.2017
IT0100165	Покрытие одноразовое для унитаза	10.05.2017
IT0100166	Бумажное полотенце	11.05.2017
IT0100167	Подвеска для унитаза	12.05.2017
IT0100168	Средство для посудомоечной машины	13.05.2017
IT0100169	Картридж с жидким мылом	14.05.2017
IT0100170	Платки носовые	15.05.2017
IT0100171	Средство по уходу за зеркалами и стеклами	16.05.2017
IT0100172	Стиральный порошок-автомат	17.05.2017
IT0100173	Средство для чистки кафеля	18.05.2017
IT0100174	Средство от накипи	19.05.2017
IT0100175	Пакеты для завтрака	20.05.2017
IT0100176	Гель для туалетов	21.05.2017
IT0100177	Сода кальцинированная	22.05.2017
IT0100178	Чистящий порошок универсальный	23.05.2017
IT0100179	Микроспрей	24.05.2017
IT0100180	Средство для чистки плит	25.05.2017
IT0100181	Дозатор	26.05.2017
IT0100182	Стиральный порошок ручной	27.05.2017
IT0100183	Мыло жидкое	28.05.2017
IT0100184	Мыло кусковое	29.05.2017
IT0100185	Отбеливатель	30.05.2017
IT0100186	Зубная паста	01.02.2017
IT0100187	Пятновыводитель	02.06.2017
IT0100188	Салфетки бумажные	03.06.2017
IT0100189	Стиральный порошок универсальный	04.06.2017
IT0100190	Средство для мытья посуды	05.06.2017
IT0100191	Средство для прочистки труб	06.06.2017
IT0100192	Перчатки тканевые	07.06.2017
IT0100193	Антистатик спрей	08.06.2017
IT0100194	Освежитель воздуха	09.06.2017
IT0100195	Пена/соль для ванн	10.06.2017
IT0100196	Запасной баллон для освежителя	11.06.2017
IT0100197	Средство для ухода за мебелью	12.06.2017
IT0100198	Средство для чистки металлических изделий	13.06.2017
IT0100199	Средство для мытья пола	14.06.2017
IT01001100	Кондиционер для белья	15.06.2017
IT01001101	Перчатки резиновые	16.06.2017
IT01001102	Средство для дезинфекции	17.06.2017
IT01001103	Покрытие одноразовое для унитаза	18.06.2017
IT01001104	Бумажное полотенце	19.06.2017
IT01001105	Подвеска для унитаза	20.06.2017
IT01001106	Средство для посудомоечной машины	21.06.2017
IT01001107	Картридж с жидким мылом	22.06.2017
IT01001108	Платки носовые	23.06.2017
IT01001109	Средство по уходу за зеркалами и стеклами	24.06.2017
IT01001110	Стиральный порошок-автомат	25.06.2017
IT01001111	Средство для чистки кафеля	26.06.2017
IT01001112	Средство от накипи	27.06.2017
IT01001113	Пакеты для завтрака	28.06.2017
IT01001114	Гель для туалетов	29.06.2017
IT01001115	Сода кальцинированная	01.07.2017
IT01001116	Чистящий порошок универсальный	02.07.2017
